SD,RS,GS_Base_ICL,GS_Base_SFT,GS_Chat_ICL,GS_Chat_SFT,RS_Len_Base,RS_Len_Chat,OOV_RS_Base,OOV_RS_Chat,Novel_RS,OOV_SD_Base,OOV_SD_Chat,R-L_Base_ICL,R-L_Base_SFT,R-L_Chat_ICL,R-L_Chat_SFT,Medical_Words_SplitMoreThan1,Medical_Words_SplitMoreThan3,Medical_Words_SplitMoreThan1_SD,Medical_Words_SplitMoreThan3_SD,CSr__Base_ICL,CSr__Base_SFT,CSr__Chat_ICL,CSr__Chat_SFT
Good morning.  I have a question for a urologist or a surgeon.  This may be out there but I am not one to go with the flow.  Now I do not have prostate cancer but I like being ready for anything.  I will be having a blood test next week and then I will be seeing my doctor.  My PSA was up from the last few.  2015 - 0.4   2016 - 0.7 and 2017 - 2.2.  Now here is my question.   If I get prostate cancer and lets say that the tumor is in the right lobe can I just have the right lobe removed.  Nothing else.  Maybe the lymph node on that side but I do not want anything else removed  I do not want the bladder neck touch or the seminal vesicles or the other side of the prostate.  I know you must think this is crazy but I feel my sex life and my ejaculation is just as important to save as getting rid of the cancer.  I have been reading to many articles that say they take every because you may get cancer there.  So you are going to take out good tissue just because you may get it again.  I don't believe in that.  My urologist call me his challenge.  I do not give up total control.  Thank you for your time.  I hope you have a great day.   ,What are the minimally invasive procedures for localized prostate cancer?,What are the risks of removing only the right lobe of the prostate?,What are the risks of having prostate cancer removed?  What are the risks of having,Can a surgeon remove only the affected lobe of the prostate during surgery to treat cancer,What are the treatments for prostate cancer?  What are the treatments for prostate cancer,15,15,0.4444444444444444,0.4444444444444444,0.6,0.0728155339805825,0.0728155339805825,0.3478260869565217,0.4,0.2307692307692307,0.5,0.6,0.0,0.2444444444444444,0.0222222222222222,0.0,0.0,0.2222222222222222,0.0
Hi! I would like to know if I can have some  info mail to me on Sarcoidosis,Could you give me information on sarcoidosis?,What is sarcoidosis?,Where can I find information on sarcoidosis?  (2)  How can I find,"Can you provide information on Sarcoidosis?

Please provide a summary of the patient health","Where can I find information on sarcoidosis, including symptoms, diagnosis, and treatment",11,11,0.0,0.0,0.7142857142857143,0.0625,0.0625,0.2,0.3157894736842105,0.3809523809523809,0.3157894736842105,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.6666666666666666,0.4
"I had the colonoscopy, stool specimen test twice.  However I have had heavy diarrhea three or 4x a day. It often looks like a black mud slide. I need stronger anti diarrhea meds as I now take 6 to 8 a day now.  It is the only way I can control it. I am planning a trip. I want some really strong meds to keep this in control for my trip.  Thank you",Which treatment is best for persistent severe diarrhea?,What is the best treatment for diarrhea?,What are the anti diarrheal medications that are recommended for a trip?   I,What are the best medications to control diarrhea for a trip?,What anti diarrhea medicines are available for diarrhea caused by colonoscopy,12,12,0.0,0.0,0.75,0.0967741935483871,0.0967741935483871,0.5333333333333333,0.0952380952380952,0.2105263157894737,0.2105263157894737,0.25,0.25,0.25,0.0625,0.6666666666666665,0.0,0.0,0.0
I have RA and am suffering from pain and it is attacking my joints...I have read about certain bacteria that can contribute to the RA onset. Please send me any info on any botanical medicines (like those successful from Australia)...and if you could send me samples I would certainly try them as part of human studies on RA.,Are there herbal medicines for rheumatoid arthritis?,What are the treatments for rheumatoid arthritis?,What are the bacteria that contribute to the onset of RA and what are the botant,What are the botanical medicines that have shown promise in treating rheumatoid ar,"What are the treatments for pain and arthritis, and what are the treatments for",17,17,0.5,0.5,0.8571428571428571,0.0754716981132075,0.0754716981132075,0.5714285714285714,0.0869565217391304,0.3,0.2857142857142857,0.8,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
My daughter suffers from a rare condition called Xeroderma Pigmentousim Type C.  I was wondering what can we do for my daughter. We live in Canada.,How can we help our daughter with Xeroderma Pigmentosum Type C?,Where can I find information on Xeroderma Pigmentosum?,What are the treatments for Xeroderma Pigmentousim Type C?  How,What are the treatment options for Xeroderma Pigmentosum Type C in Canada?,"Where can I find information on Xeroderma Pigmentosum Type C, including treat",19,19,0.2,0.2,0.7272727272727273,0.1304347826086956,0.1304347826086956,0.3157894736842105,0.2857142857142856,0.3478260869565217,0.4347826086956521,0.2,0.2,0.3333333333333333,0.1666666666666666,0.0,0.5,0.6666666666666666,0.28571428571428575
I am suffering from vitiligo patches (White spot) in my body. I am 57 years old. Kindly help me  to cure the disease  white spot due to this i am very depression.,What can cure vitiligo?,What are the treatments for vitiligo?,What are the treatments for vitiligo?  What are the treatments for vitiligo,What are the treatments for vitiligo?,What are the treatments for vitiligo and depression?  What are the treatments for,8,8,0.3333333333333333,0.3333333333333333,0.75,0.1538461538461538,0.1538461538461538,0.4,0.25,0.4,0.2352941176470588,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
"I need to find out about chromium, cyanide copper, acid copper, nickel, and lead build up in the human body, how it affects it,long term health, if it can be removed, Thank you.",What is the long-term effect of heavy metals on the human body and how can it be mitigated?,What are the long-term effects of heavy metal poisoning?,"Where can I find information on chromium, Cyanide copper, acid copper, nick","How does exposure to these heavy metals affect the human body in the long term, and are","Where can I find information on chromium, cyanide copper, acid copper, nick",24,24,0.0625,0.0625,0.4444444444444444,0.0833333333333333,0.0833333333333333,0.5517241379310345,0.064516129032258,0.3333333333333333,0.064516129032258,0.2,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4,0.0
I have fish smell disorder and i need as much as i could help. Please,Is there a cure for fish odor syndrome?,What are the treatments for fish smell disorder?,What are the treatments forfish odor disease?  What are the treatments forfish od,What are the treatments for fish odor syndrome?,What are the treatments for fish odor? What are the treatments for fish odor?,12,12,0.2857142857142857,0.2857142857142857,0.75,0.1428571428571428,0.1428571428571428,0.25,0.0952380952380952,0.5,0.2727272727272727,0.6666666666666666,0.0,0.4,0.0,0.0,0.0,0.6666666666666666,0.0
"Hello, I have been dealing with trimethylaminuria since I was a child. I have done some of my own research and it looks like not much can be done for this condition. I do not have it all over my body it’s only in my armpits. In the past I’ve gone to doctors and dermatologist they gave me no answers until I looked online today and finally found out what I have. I don’t know maybe I’m wrong. But this disease isn’t even consider common because no one has done anything about it. I’m sure they’re thousands of women with it... Can I be tested for it and help in some kind of way to finding a cure or something?  What testing is done for this?  And where? Thank you",How can I get tested and treated for trimethylaminuria?,What is trimethylaminuria?,How is trichorraninuinuinuinuinuinuinu,"Can I be tested for trimethylaminuria, and if so, where and how is the",Where can I find information on testing and cures for trimethylaminuria? Where can I,14,14,0.0,0.0,0.5555555555555556,0.0357142857142857,0.0357142857142857,0.1666666666666666,0.1666666666666666,0.4347826086956521,0.5217391304347826,0.3333333333333333,0.3333333333333333,0.2105263157894736,0.0526315789473684,0.0,0.0,0.8,0.3333333333333333
"Please, please let us know where to get information and treatment for COLLAGENOUS GASTRITIS.  Our 15 year old daughter has been suffering from severe abdominal pain, vomiting- almost daily/sometimes multiple times daily, lethargy,  and not able to live life for just 9.5 weeks now.  She was diagnosed with biopsy results from her endoscopy this week.  This is such a rare disease- we are not sure what to do.  Her peds GI has heard of this, but not  able to answer all our questions, as there seem to be no answers- no cure & no know cause.",Where can we get information and treatment for collagenous gastritis?,Where can I get information and treatment for COLLAGENOUS GASTRITIS?,"Where can I find information on collagenous gastritis, including treatment?  What are",Where can we find information and treatment for collagenous gastritis?,"Where can I find information on collapsed gastritis, including treatment and cure?  Where",15,15,0.1111111111111111,0.1111111111111111,0.3,0.1025641025641025,0.1025641025641025,0.9,0.4545454545454545,0.9,0.3478260869565217,0.5,0.0,0.28,0.12,1.0,0.923076923076923,1.0,0.7142857142857143
My aunt has ALS. I am about to give birth to my son next month. Could I use my blood cord to help my aunt with ALS?,Can umbilical cord blood help with ALS?,Is there a way to use cord blood to treat ALS?,How is cord blood used to treat ALS?  What are the treatments for ALS?,Is it possible to use cord blood for treating ALS?,Is cord blood a treatment for ALS? Is cord blood a treatment for any neurodegener,11,11,0.1666666666666666,0.1666666666666666,0.4285714285714285,0.0833333333333333,0.0833333333333333,0.3333333333333332,0.2857142857142857,0.3529411764705882,0.2727272727272727,0.2,0.0,0.125,0.0,0.0,0.0,0.0,0.0
Hi my 4 year old son has uncomfortable hair syndrome is there a register that i should put him on. Regards,Is there a registry for children with uncomfortable hair syndrome?,Is there a registry for uncomfortable hair syndrome?,How can I find physician(s) who specialize in uncomfortable hair syndrom,Is there a registry for children with uncomfortable hair syndrome?,"Where can I find information on uncomfortable hair syndrome, including support groups? Where can",15,15,0.1111111111111111,0.1111111111111111,0.5,0.1578947368421052,0.1578947368421052,0.888888888888889,0.2727272727272727,1.0,0.25,0.25,0.0,0.2,0.0,1.0,0.0,1.0,0.0
"I had the bladder sling surgery and the incontinence was cured for 1 week and then the leaking began again.  The Dr wanted to prescribe a pill to stop the leaking but I waited until I went back  for my one month check up, all the while leaking just as bad as I did before the surgery.  When she examined me she said the bladder had slipped out of the sling and we would have to do the surgery again this time she would suture it to the ligament behind the pelvic bone.   My question is this:  #1. why would it slip?  was she supposed to suture it before to prevent the slipping? what guarantees that it won't slip again?  I am very concerned about having to go under anesthesia again and certainly do not want to risk having to go yet a 3rd time to solve my stress incontinence issues. Thank you for ever help you can give with these answers.",What is the most effective bladder surgery for incontinence and what is its success rate?,What are the treatments for stress incontinence?,"How is bladder sling surgery done, and what are the risks?  What","Why did the bladder slip out of the sling after surgery, and what can",What are the prevention and treatments for slinging and for leaking after bladder,22,22,0.2142857142857142,0.2142857142857142,0.4,0.1486486486486486,0.1486486486486486,0.3636363636363636,0.3703703703703704,0.3448275862068965,0.2857142857142857,0.6,0.2,0.5833333333333334,0.0833333333333333,0.0,0.0,0.0,0.0
I have stiff person syndrome.  How do I find out what is new in treatment  in this study?,What are the latest treatments for the stiff-person syndrome?,What is the latest research on stiff person syndrome?,What are the latest treatments for stiff person syndrom?  How can I find information on,What is the latest research on treatments for stiff person syndrome?,Where can I find the latest research on treatments for stiff person syndrome?  Where can,15,15,0.1428571428571428,0.1428571428571428,1.0,0.0625,0.0625,0.631578947368421,0.7200000000000001,0.761904761904762,0.56,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.4,0.5714285714285715,0.5714285714285715
"Hi, Please can you help - I am writing from South Africa. My daughter suffers with acute folliculitus, and has been since the age of 13. She is now 20 and is in so much distress as nothing seems to alleviate the itching and soreness. She is desperate for some relief and we have tried absolutely everything - creams, shampoos, antibiotics, biopsies, blood tests, allergy tests, light therapy, diet etc. We have consulted Professors of Dermatology but they do not know how to treat it. She is now getting suicidal thoughts as it is extremely debilitating and cries a lot. They have tested for both fungal and bacterial and have grown cultures to see what attacks it - nothing does. I am writing to you for any help you could give me to try and assist her. Could you recommend a specialist and someone who could help us with research? Please could you point us in the right direction? I am happy to send through her lab tests - please let me know. Thanks",How can we find a specialist or clinical trial for chronic folliculitis?,What is the best treatment for acute folliculitis?,How can I find physician(s) or hospital(s) who specialize in acute,Can you recommend a specialist or researcher to help treat acute folliculitis in a,"Where can I find information on acute folliculitus, including treatments and specialists",19,19,0.2727272727272727,0.2727272727272727,0.5,0.1208053691275167,0.1208053691275167,0.2,0.32,0.3846153846153846,0.25,0.8,0.2,0.4186046511627907,0.0697674418604651,0.0,0.0,0.22222222222222224,0.22222222222222224
"Dear concerned, My mother is a kidney & heart patient and from last 3 years she is going through Dialysis on twice a week basis. Her cause of kidney failure can be Diabetes & High Blood Pressure from last 10 years. Currently her creatinine level is 9. Can you please guide me is there any way to revive her kidneys???  Looking forward to your kind support. Thanks & Regards",Is there a way to improve kidneys in a person on twice-weekly dialysis?,What are the options for treating kidney failure?,What are the latest treatments for kidneys?  What are the latest treatments for kid,Are there any treatments to help revive my mother's kidneys?,Is there any treatment to revive kidney failure?  Is there any treatment to reversed cre,21,21,0.0909090909090909,0.0909090909090909,0.3846153846153846,0.1551724137931034,0.1551724137931034,0.0909090909090909,0.0714285714285714,0.2399999999999999,0.2758620689655172,0.75,0.0,0.35,0.0,0.0,0.5,0.4,0.0
"I am looking for any information you have on females with congenital adrenal hyperplasia, my wife has this condition. We are searching for a doctor for her medical care, and need all the information we can find on this condition.",Could you provide complete information about congenital adrenal hyperplasia?,What is congenital adrenal hyperplasia?,Where can I find information on congenital adrenalhyperplasia?  How can I,What are the latest treatment options for congenital adrenal hyperplasia in females?,"Where can I find information on congenital adrenal hyperplasia, including physician(",16,16,0.25,0.25,0.5555555555555556,0.0555555555555555,0.0555555555555555,0.4285714285714285,0.1999999999999999,0.2857142857142857,0.3999999999999999,0.5,0.0,0.3,0.0,0.0,0.5714285714285715,0.0,0.5
"I have ra in both knees, I want to get back to work and my normal life.",Can I have a normal life with rheumatoid arthritis in both knees?,What are the treatments for knee pain?,What are the treatments for knee pain?  What are the treatments for knee pain,What are the treatments for knee pain and how can I return to work and normal life?,What are the treatments for ra in the knee? What are the treatments for ra in,21,21,0.1818181818181818,0.1818181818181818,0.5,0.0,0.0,0.1052631578947368,0.0769230769230769,0.2758620689655172,0.1428571428571428,0.5,0.3333333333333333,0.2,0.0,0.0,0.0,0.7999999999999999,0.0
"my son is 13 years, just now finding out hes 47xxy Klinefelter’s guy, hes is very upset when he was told about the possibility of not having children I been reading On Tesa and other ways we can try to give him the chance later in life to become a father, im looking for any help information towards where to start where to look to helping him for the future",How can we improve fertility in Klinefelter syndrome karyotype 47 XXY?,What are the latest treatments for Klinefelter's syndrome?,How can I find physician(s) or hospital(s) who specialize in kline,What are the options for fertility treatment in individuals with Klinefelter syndrome?,47xy Klinefelter's syndrome is caused by a chromosome abnormal,23,23,0.4444444444444444,0.4444444444444444,0.6363636363636364,0.03125,0.03125,0.1999999999999999,0.2499999999999999,0.3478260869565217,0.1904761904761905,1.0,0.5,0.1428571428571428,0.0714285714285714,0.5,0.0,0.33333333333333337,0.5
Hi! Where in the world can I find a surgeon who will remove abdominal adhesions and mesh from a previous inguinal hernia repair? My husband is in terrible pain a lot of the time. I am a retired Registered Nurse and understand the procedures. Thank you for any help you can give me.,How can I find a surgeon who will remove abdominal adhesions and mesh from a previous inguinal hernia repair?,Where can I find a surgeon to remove abdominal adhesions and mesh from a previous inguinal hernia repair?,How can I find physician(s) who specialize in inguinu hernia,Can you recommend a surgeon for adhesion removal and mesh removal from a previous inguinal,Where can I find physician(s) who specialize in abdominal adhesions and,29,29,0.2777777777777778,0.2777777777777778,0.1052631578947368,0.1458333333333333,0.1458333333333333,0.8648648648648649,0.3999999999999999,0.5882352941176471,0.4516129032258065,0.5555555555555556,0.0,0.3888888888888889,0.0,1.0,0.0,0.5,0.0
I would like to find out more on 22q12q13 duplication. My granddaughter has this. Screened during pregnancy. She seems to be developing okay. Speech is slow. But want to find out if there is more information. Do you know of any research?,What can you tell me about 22q12-q13 duplication?,What is the prognosis for a child with 22q12q13 duplication?,"22q12q13 duplication, Where can I find information on it?","What research is available on 22q12q13 duplication, and how does","22q12q13 duplication, including prenatal genetic testing and sympt",19,19,0.0,0.0,0.875,0.088235294117647,0.088235294117647,0.2105263157894737,0.1111111111111111,0.2105263157894737,0.1176470588235294,1.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0
"my daughter has lichen sclerosis and we are wondering if you have any research on stem cell treatment?  She now has it effecting her ureatha and the Dr she is seeing  has no idea how to treat it, as she has never seen it do this.  She was diagnosed when she was 22 with a severe case of LS and has had little relief with current treatments.  Thank you for your time in this matter.  Also are there any clinical trials coming up she may participate in?","What is the best treatment for lichen sclerosus, including experimental treatments?","What is the latest research on lichen sclerosis, and what are the treatments for it?",Where can I find information on stem cell therapy for lichen sclerosis?  Are,"Are there any stem cell treatments available for lichen sclerosus, and are there any","Where can I find information on stem cell treatments for lichen sclerosis, including clin",18,18,0.1111111111111111,0.1111111111111111,0.5454545454545454,0.1125,0.1125,0.3846153846153846,0.1666666666666666,0.32,0.32,0.6,0.2,0.3,0.05,0.25,0.0,0.28571428571428575,0.4444444444444445
My 37 year old daughter is dying of Crohn's disease. It is very desperate.  Is there anything you can do? Time is of the essence.,What will stop the progression of Crohn's disease?,What are the treatments for Crohn's disease?,What are the latest treatments for dieing of Crohn's disease?  What are the,What are the treatment options for Crohn's disease?,What are the treatments for Crohn's disease? Is there any cure? Is there,13,13,0.1666666666666666,0.1666666666666666,0.75,0.0,0.0,0.5882352941176471,0.5217391304347826,0.5555555555555556,0.4347826086956521,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dear Sir, i am hopeless and unfortunate father of  only one son who is suffering by achandroplasia, he is 9 years old suffering by this disease from his childhood, i want to provide better treatment to him, i am ready to do any thing, please please please kindly  extend your helping hand for treatment of my son.",Can achondroplasia be treated?,What are the treatments for achandroplasia?,What are the treatments for achondroplasia?  How can I find physician(,"What are the treatment options for achondroplasia, and how can I find a medical professional","Where can I find information on achondroplasia, including treatment options? Where can I find",9,9,0.3333333333333333,0.3333333333333333,0.75,0.06,0.06,0.0,0.1333333333333333,0.1052631578947368,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0
"Hello, I receive ssi each month. I have chronic lymphedema unfortunately.  I was reading on website that liposuction has helped.",Does liposuction treat chronic lymphedema?,What is liposuction?,How can chronic lymphedema be treated with lidodipuuu?,What is the effectiveness of liposuction for chronic lymphedema?,What are the treatments for lymphedema?  What are the treatments for l,14,14,0.5,0.5,0.6,0.25,0.25,0.25,0.3076923076923077,0.4285714285714285,0.1176470588235294,0.6,0.4,0.6,0.4,0.0,0.0,0.0,0.0
I get wrist joint pain along with finger joint pains and my symptoms are similar to wrist osteoarthritis but I am diagnosed with ankylosing spondylitis because I am HLA-B27 positive. Therefore I want to know the following: I want to know whether osteoarthritis of wrist can occur in ankylosing spondylitis or it occurs in Ehlers–Danlos syndrome only?,Can osteoarthritis of wrist occur in ankylosing spondylitis patients?,What is the difference between osteoarthritis of the wrist and ankylosing spondylitis?,Is osteoarthritis of wrist a symptom of ankylosing spond,Can osteoarthritis occur in Ankylosing Spondylitis?,What are the symptoms of wrist osteoarthritis and Ehlers-Dan,22,22,0.5,0.5,0.2222222222222222,0.25,0.25,0.4761904761904762,0.4444444444444444,0.8,0.2105263157894737,0.5714285714285714,0.4285714285714285,0.6,0.2,0.8,0.4,0.0,0.4
where do i go to find information on familial dysautonomia. is there  an organization out there on the subject. all the websites ive gone to say dns error...,Can you provide information on familial dysautonomia and support groups for it?,Where can I find information on familial dysautonomia?,Where can I find information on familial dysautonomia?  How can I find phys,Where can I find information on familial dysautonomia? Is there an organization that provides,"Where can I find information on familial dysautonomia, including support groups? Where can",18,18,0.1818181818181818,0.1818181818181818,0.5833333333333334,0.12,0.12,0.5,0.4,0.3846153846153846,0.5599999999999999,0.2857142857142857,0.1428571428571428,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.75
Im looking for a Dna test for mental illness. ,Are there DNA tests for mental illness?,What is the best way to find a DNA test for mental illness?,Where can I get genetic testing for mental illness?   What are the risks?,"What are the options for genetic testing to identify mental health risks?
##
Query",Where can I find information on Dna testing for mental illness?  Where can I find information,9,9,0.0,0.0,0.7142857142857143,0.125,0.125,0.5,0.4,0.3,0.4347826086956521,0.25,0.0,0.3333333333333333,0.0,0.5,0.4,0.0,0.3333333333333333
"My son was recently diagnosed with Elephantiasis Nostras Verrucosa in his spine. it was resected successfully. Im seeking additional literature regarding these type of cases specifically.  My son is 19, and has been determined legally blind from the hydrocephalus that occurred. Are there any other incidences of this? please provide any relevant info, or links. I am a Mom looking for info!! Please help!!",Can spinal surgery cause hydrocephalus and blindness in adults?,What is the treatment for elephantiasis nostras verrucosa?,Where can I find information on elephantiasis nodosa blueteri resection?,What are the treatment options for Elephantiasis Nostras Verrucosa?,"Where can I find information on Elephantiasis Nostras Verrucosa, including",17,17,0.5,0.5,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.1052631578947368,0.0,0.1052631578947368,0.7142857142857143,0.1428571428571428,0.5625,0.1875,0.0,0.0,0.0,0.0
"I have MDS, I cannot hold on to copper? I'm on 10 mgs oral per day. I receive 8 mgs of IV  5 days per month with my Vidaiza chemo therapy. I have readings of 58 to 62 on average. I have had one 71 and one 81 normal. The doctors don't know why or who to contact? I would like Your input for where to get help?",How can i increase my copper retention while on Vidaza?,What is the cause of low copper?,How can I find physician(s) or hospital(s) who specialize in coenz,Why do I have low copper levels despite treatment and how can I get help?,"Where can I find information on copper levels in MDS, including how to interpret copper levels",14,14,0.2222222222222222,0.2222222222222222,0.5,0.1372549019607843,0.1372549019607843,0.1176470588235294,0.2608695652173913,0.24,0.2307692307692307,0.75,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0
"I am a 65 yr old woman who has just recently found out that I have had Hirschsprung's Disease all of my life. I have been going to one doctor after another for 45 years trying to find out what is wrong with me. I FINALLY found one who knew. Can you give me more information about HD in adults?  Mine is not adult-onset, I've had it for 65 years but did not know what it was.",where can i find information for adults with Hirschsprung's disease?,What is Hirschsprung's disease?,Where can I find information on Hirschprung's disease in adults?  How is,What are the symptoms and treatments for Hirschsprung's Disease in adult,Where can I find information on Hirschsprung's Disease in adults?,17,17,0.125,0.125,0.3,0.0454545454545454,0.0454545454545454,0.3749999999999999,0.5833333333333334,0.3478260869565217,0.7272727272727273,0.3333333333333333,0.0,0.2727272727272727,0.0,0.5714285714285715,0.6666666666666665,0.25,0.7499999999999999
"Hi,  maybe you can point me.  My Uncle, born in 1908 was made permanently bald by xrays for a back condition.  He lost ALL his hair over his whole body.  It that possible?  I assume  he had back issues in his 20s.  Have you ever heard of a case like this.  He lived to be 96 years old, never married and always wore a hairpiece.",Can x-rays cause complete hair loss?,Can x-rays cause permanent baldness?,What are the side effects of x-rays on hair?  Can x-rays cause,"Can x-rays cause permanent baldness and what are the possible treatments?

Please",What are the treatments for X-ray back condition?  What are the treatments for X,10,10,0.0,0.0,0.8333333333333334,0.0377358490566037,0.0377358490566037,0.6153846153846153,0.3809523809523809,0.4,0.1818181818181818,0.0,0.0,0.1176470588235294,0.0,0.6,0.6,0.5,0.2222222222222222
"My brother and I are twins. We both have XLCSNB and but I have 50% and my brother has 100%. We have an older brother with 15/20 in both eyes with no other complications. The disease came from our mom's side, and she has a sister and an aunt and uncle who also carried the gene. Our aunt has two kids who don't have the disease. If you could get back to me about latest research for XLCSNB that would be great.",What is the latest research for X-linked congenital stationary night blindness?,What is the inheritance pattern for XLCSNB?,Where can I find information on XONTB?  What is the latest research on XONTB,What is the inheritance pattern of X-linked retinoschisis (XLCSNB)?,Where can I find the latest research on XLCSNB?  Where can I find the latest,19,19,0.2222222222222222,0.2222222222222222,0.5454545454545454,0.0704225352112676,0.0704225352112676,0.4210526315789474,0.3846153846153846,0.4545454545454545,0.2222222222222222,0.6,0.0,0.25,0.0,0.0,0.5714285714285715,0.0,0.8
I m looking for do it cordon blood stem cells. For my autism son he is 6 years old..I m preagnet now 7 months..I want give a new babys cordon blood to my autism boy.please help me..,Can umbilical cord blood cure autism?,Where can I find information on cord blood stem cells for autism?,How can I get cord blood?  What are the risks?  How much does cord blood,How can I use cord blood stem cells to treat my 6-year-old son's,Where can I find cord blood stem cell banks that specialize in cord blood for autism? Where,11,11,0.4,0.4,0.6666666666666666,0.2,0.2,0.4444444444444444,0.2857142857142857,0.2727272727272727,0.3478260869565218,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0
I am trying to get some information.  I had eye surgery.  My surgical tech was clearly sick.  My hubby and i overheard her say she could not go home because they had no one to cover her.  When I was in the room alone with her and she was preparing for my surgery I clearly saw her clearing her throat coughing and touching her face covering her cough with the back of her hand.. I questioned her about the safety of her being there with a cold.. said dont worry thats why I have the mask on.. I put my trust in her went along with it.. 2 days later my nose was running profusely.. I called doctors office and they said dont worry its happens..that was a friday.. On monday I called the office and asked to be seen because my eye had started to swell..  it turns out i had developed an abscess  (endophtlamitis) now i am blind..  My understanding from reading your website the room was not sterile (air circulation) and the masks are not 100 percent germ proof..she was standing close to me handing the doctor tools i feel i was not safe with her coughing and touching them...I am looking for answers...thanks for all your help,Can a cold cause postoperative endophthalmitis?,What are the treatments for endophtlamitis?,How is eyuuuuuuuuuuuuuuuu,Can you explain the risks of infection during eye surgery due to an unwell surgical,"Where can I find information on laser eye surgery, including laser eye surgery risks",14,14,0.2,0.2,0.5,0.1052631578947368,0.1052631578947368,0.0,0.0,0.0952380952380952,0.1,0.4,0.2,0.2765957446808511,0.0,0.0,0.0,0.0,0.0
"I was on a 10 day (2 pills per day) regimen of Amox & Clav (876mg/125 mg) for bronchitis.   Two days after I finished, I developed hives on my back (left side) and right side of my face.  Is this a post use side effect?",Can you get hives after stopping antibiotics?,What are the side effects of amoxicillin and clavulanate?,What are the side effects of amoxicillin and clavulanic acid?,Can amoxicillin and clavulanate cause hives as a side effect?,876mg/125mg Amox & Clav for bronchitis,12,12,0.1666666666666666,0.1666666666666666,0.7142857142857143,0.1515151515151515,0.1515151515151515,0.0,0.0,0.2352941176470588,0.0,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
"Started doing the smoothies, i am allergic to chocolate, green tea today had to use chocolate but did not add i. What do i do. Allergic to all caffeine related items. Please respond.",How can I stop being allergic to caffeine?,What should I do if I am allergic to chocolate and green tea?,How do I do a chocolate-free smoothie?  What are alternatives to choc,Can I make smoothies without chocolate or caffeine?,What are caffeine free smoothies? What are caffeine free tea options?,14,14,0.1428571428571428,0.1428571428571428,0.75,0.1851851851851851,0.1851851851851851,0.2857142857142857,0.2857142857142857,0.375,0.1052631578947368,1.0,0.5,0.5,0.1,0.28571428571428575,0.0,0.5,0.5714285714285715
"My father had hip surgery. About one month he was detected an infection with Klebsiella pneumoniae. They started to give him intravenous ertanpenem. After almost a month, he is having episodes of seizures. He never had before. The doctors say that ertanpenem has nothing to do with it and they continue to provide it and at the same time they are giving him anti-seizure medication. I would like to know if it is correct or is at risk for his life. Thank you very much",Can ertapenem cause seizures?,Is ertanpenem safe for patients with seizures?,What are the side effects of ertanpenem?  Are there any drug interactions?  What,Is it safe to continue using ertanpenem in a patient with a history of seizures,What are the treatments for seizure and is ertanpenem contraindicated for,11,11,0.3333333333333333,0.3333333333333333,1.0,0.0657894736842105,0.0657894736842105,0.1818181818181818,0.0,0.1052631578947368,0.1333333333333333,0.5,0.25,0.4285714285714285,0.0952380952380952,0.5,0.0,0.3333333333333333,0.0
"Hi, Im writing on behalf a friend of mine's daughter who has Metachromatic leukodystrophy (MLD). They are currently overseas and they are interested of finding more info in regards to the treatment you provide. Please let me know who do I contact for furhter information on the treatment.",Is there a treatment for Metachromatic leukodystrophy (MLD)?,What is the treatment for metachromatic leukodystrophy?,Where can I find information on metachromatic leukodystrophy treatment?  How,How can I find information on the treatment for metachromatic leukodystrophy (,Where can I find information on the treatment for metachromatic leukodystrophy (,19,19,0.2857142857142857,0.2857142857142857,0.5,0.1162790697674418,0.1162790697674418,0.6666666666666666,0.2222222222222222,0.4210526315789474,0.4210526315789474,0.75,0.5,0.2307692307692307,0.1538461538461538,0.8571428571428571,0.6666666666666665,0.6666666666666665,0.6666666666666665
